FIRST NAME,LAST NAME,GENDER,SPORT,OLYMPIC EXPERIENCE,HEIGHT
Brady,Ellison,M,Archery,Yes,180
Zach,Garrett,M,Archery,None,177
Jake,Kaminski,M,Archery,Yes,177
Mackenzie,Brown,F,Archery,None,177
Phillip,Chew,M,Badminton,None,172
Sattawat ,Pongnairat,M,Badminton,None,180
Howard ,Shu,M,Badminton,None,185
Eva,Lee,F,Badminton,Yes,167
Paula Lynn,Obanana,F,Badminton,None,160
Jamie,Subandhi,F,Badminton,None,162
Iris,Wang,F,Badminton,None,160
Carmelo,Anthony,M,Basketball,Yes,203
Harrison,Barnes,M,Basketball,None,203
Jimmy,Butler,M,Basketball,None,200
DeMarcus,Cousins,M,Basketball,None,210
DeMar,DeRozan,M,Basketball,None,200
Kevin,Durant,M,Basketball,Yes,205
Paul,George,M,Basketball,None,205
Draymond,Green,M,Basketball,None,200
Kyrie,Irving,M,Basketball,None,190
DeAndre,Jordan,M,Basketball,None,210
Kyle,Lowry,M,Basketball,None,182
Klay,Thompson,M,Basketball,None,200
Seimone,Augustus,F,Basketball,Yes,185
Sue,Bird,F,Basketball,Yes,175
Tamika,Catchings,F,Basketball,Yes,187
Tina,Charles,F,Basketball,Yes,190
Elena,Delle Donne,F,Basketball,None,195
Sylvia,Fowles,F,Basketball,Yes,198
Brittney,Griner,F,Basketball,None,203
Angel,McCoughtry,F,Basketball,Yes,185
Maya,Moore,F,Basketball,Yes,182
Breanna,Stewart,F,Basketball,None,193
Diana,Taurasi,F,Basketball,Yes,182
Lindsay,Whalen,F,Basketball,Yes,175
Carlos,Balderas,M,Boxing,None,175
Charles,Conwell,M,Boxing,None,175
Nico,Hernandez,M,Boxing,None,165
Gary,Russell,M,Boxing,None,172
Shakur,Stevenson,M,Boxing,None,172
Antonio,Vargas,M,Boxing,None,167
Mikaela,Mayer,F,Boxing,None,175
Claressa,Shields,F,Boxing,Yes,175
Casey,Eichfeld,M,Canoe,Yes,177
Devin,McEwan,M,Canoe,None,177
Michal,Smolen,M,Canoe,None,180
Maggie,Hogan,F,Canoe,None,170
Ashley,Nee,F,Canoe,None,162
Connor,Fields ,M,Cycling ,Yes,182
Nic ,Long,M,Cycling ,Yes,187
Corben,Sharrah,M,Cycling ,None,182
Brooke,Crain,F,Cycling ,Yes,162
Alise ,Post,F,Cycling ,Yes,157
Howard ,Grotts,M,Cycling ,None,170
Lea ,Davison,F,Cycling ,Yes,167
Chloe ,Woodruff,F,Cycling ,None,157
Matt,Baranoski,M,Cycling ,None,182
Bobby,Lea,M,Cycling ,Yes,187
Kelly,Catlin,F,Cycling ,None,167
Chloé ,Dygert,F,Cycling ,None,175
Sarah ,Hammer,F,Cycling ,Yes,170
Jennifer,Valente,F,Cycling ,None,175
Ruth,Winder,F,Cycling ,None,162
Brent,Bookwalter,M,Cycling ,None,180
Taylor,Phinney,M,Cycling ,Yes,195
Mara,Abbott,F,Cycling ,None,162
Kristin ,Armstrong,F,Cycling ,Yes,172
Megan ,Guarnier,F,Cycling ,None,162
Evelyn ,Stevens,F,Cycling ,Yes,165
David,Boudia,M,Diving,Yes,175
Sam,Dorman,M,Diving,None,175
Michael,Hixon,M,Diving,None,172
Kristian,Ipsen,M,Diving,Yes,170
Steele,Johnson,M,Diving,None,187
Kassidy,Cook,F,Diving,None,162
Amy,Cozad,F,Diving,None,160
Abby,Johnston,F,Diving,Yes,165
Jessica,Parratto,F,Diving,None,157
Katrina,Young,F,Diving,None,162
Steffen,Peters,M,Equestrian ,Yes,172
Allison ,Brock,F,Equestrian ,None,167
Laura,Graves,F,Equestrian ,None,172
Kasey,Perry-Glass,F,Equestrian ,None,162
Phillip ,Dutton ,M,Equestrian ,Yes,167
Boyd ,Martin ,M,Equestrian ,Yes,187
Clark  ,Montgomery,M,Equestrian ,None,182
Lauren ,Kieffer ,F,Equestrian ,None,177
Kent,Farrington,M,Equestrian ,None,172
McLain,Ward,M,Equestrian ,Yes,175
Lucy,Davis,F,Equestrian ,None,165
Beezie,Madden,F,Equestrian ,Yes,167
Jason,Pryor,M,Fencing,None,175
Katharine,Holmes,F,Fencing,None,180
Courtney,Hurley,F,Fencing,Yes,172
Kelley,Hurley,F,Fencing,Yes,175
Kasia,Trzopek,F,Fencing,None,175
Race,Imboden,M,Fencing,Yes,185
Alexander,Massialas,M,Fencing,Yes,187
Gerek,Meinhardt,M,Fencing,Yes,182
Miles,Chamley-Watson,M,Fencing,Yes,193
Lee,Kiefer,F,Fencing,Yes,162
Nzingha,Prescod,F,Fencing,Yes,162
Eli,Dershwitz,M,Fencing,None,185
Daryl,Homer,M,Fencing,Yes,172
